rule_id,active,student_level,interest_tags,destination_tags,min_spm_credits,required_subjects_json,min_cgpa,budget_min,budget_max,english_min,constraints_json,pathway_title,pathway_summary,cost_estimate_text,visa_note,scholarship_likelihood,readiness_gaps,next_steps,priority_weight
SPM_IT_LOCAL_01,true,SPM,IT|Engineering,Malaysia,5,"{""math"":""C"",""english"":""C""}",,800,3000,Intermediate,"{""work_part_time_ok"":true,""timeline_fast_track"":true}",Foundation in IT (Local),Start with a local foundation before degree progression,"RM 800-3000/month","General note: verify latest study and work rules with official channels.",Medium,"English speaking practice|Portfolio mini-project|CV preparation","Apply to 2 local institutions and prepare portfolio in 30 days",10
SPM_IT_LOCAL_BUDGET_02,true,SPM,IT|Data,Malaysia,4,"{""math"":""D"",""english"":""C""}",,500,1800,Beginner,"{""work_part_time_ok"":true,""timeline_fast_track"":false}",Certificate to Diploma in IT (Local),Start from certificate then progress into diploma in IT,"RM 500-1800/month","General note: progression pathways vary by provider.",High,"English foundation|Basic coding practice|Time management","Enroll in entry pathway and complete weekly learning routine",8
SPM_BUSINESS_LOCAL_01,true,SPM,Business|Economics,Malaysia,5,"{""math"":""C"",""english"":""C""}",,900,2800,Intermediate,"{""work_part_time_ok"":true}",Business Diploma (Local),Build core business fundamentals through local diploma route,"RM 900-2800/month","General note: internship and progression requirements differ by institution.",Medium,"Excel basics|Interview prep|Personal statement draft","Shortlist 3 programs and prepare interview talking points",9
SPM_ENGINEERING_LOCAL_01,true,SPM,Engineering|IT,Malaysia,6,"{""math"":""B"",""english"":""C"",""science"":""C""}",,1200,3500,Intermediate,"{""work_part_time_ok"":false,""timeline_fast_track"":true}",Engineering Foundation (Local),Enter engineering foundation with structured progression plan,"RM 1200-3500/month","General note: lab and safety requirements are institution specific.",Medium,"Math refresher|Physics concepts|Study schedule planning","Prepare STEM revision plan and join one prep class",8
SPM_HEALTH_LOCAL_01,true,SPM,Health|Science,Malaysia,5,"{""english"":""C"",""science"":""C""}",,1000,3200,Intermediate,"{""work_part_time_ok"":false}",Allied Health Diploma (Local),Begin allied health pathway through approved local diploma track,"RM 1000-3200/month","General note: clinical placement rules vary and can change.",Medium,"Communication skills|Bio basics|Document checklist","Check entry health requirements and gather documents early",8
SPM_CREATIVE_LOCAL_01,true,SPM,Creative|Design,Malaysia,3,"{""english"":""C""}",,600,2500,Beginner,"{""work_part_time_ok"":true}",Creative Diploma (Local),Build a creative portfolio pathway through local diploma route,"RM 600-2500/month","General note: portfolio quality heavily affects outcomes.",Medium,"Portfolio starter|Mentor feedback|Time management","Create 3-piece portfolio and join one showcase event",7
SPM_HOSPITALITY_LOCAL_01,true,SPM,Business|Health,Malaysia,3,"{""english"":""C""}",,700,2200,Beginner,"{""work_part_time_ok"":true,""timeline_fast_track"":true}",Hospitality Diploma (Local),Start practical hospitality training with industry exposure,"RM 700-2200/month","General note: internship terms differ by campus and employer.",High,"Customer communication|Service etiquette|CV building","Practice customer scenarios and prepare internship-ready CV",7
SPM_DATA_LOCAL_01,true,SPM,Data|IT,Malaysia,5,"{""math"":""C"",""english"":""C""}",,1100,3200,Intermediate,"{""work_part_time_ok"":true}",Data Analytics Prep Diploma (Local),Develop data fundamentals before degree progression,"RM 1100-3200/month","General note: software curriculum differs by institution.",Medium,"Spreadsheet skills|Statistics basics|Portfolio case study","Complete one simple data project and document your process",8
SPM_BUSINESS_OVERSEAS_01,true,SPM,Business|Economics,Australia|UK,6,"{""math"":""C"",""english"":""B""}",,2500,7000,Advanced,"{""work_part_time_ok"":true}",Business Diploma Pathway (Overseas),Progress through diploma-to-degree business track overseas,"RM 2500-7000/month","General note: visa and work eligibility depend on destination policy.",Low,"English test score improvement|Scholarship documents|Financial planning","Build scholarship shortlist and complete English benchmark",7
SPM_IT_OVERSEAS_01,true,SPM,IT|Data,Singapore|Australia,6,"{""math"":""B"",""english"":""B""}",,2800,7500,Advanced,"{""work_part_time_ok"":true}",IT Foundation to Degree (Overseas),Use foundation pathway for overseas IT degree progression,"RM 2800-7500/month","General note: destination-specific visa and internship limits apply.",Low,"English benchmark|Coding portfolio|Funding planning","Prepare coding portfolio and verify entry requirements",7
SPM_HEALTH_OVERSEAS_01,true,SPM,Health|Science,UK|Ireland,7,"{""english"":""B"",""science"":""B""}",,3500,9000,Advanced,"{""work_part_time_ok"":false}",Health Sciences Pre-University (Overseas),Pursue pre-university route before health degree overseas,"RM 3500-9000/month","General note: placement and licensing pathways depend on destination rules.",Low,"English test prep|Academic writing|Financial backup plan","Map pathway prerequisites and prepare language test timeline",6
SPM_CREATIVE_OVERSEAS_01,true,SPM,Creative|Design,Australia|UK,5,"{""english"":""C""}",,2200,6500,Intermediate,"{""work_part_time_ok"":true}",Creative Arts Foundation (Overseas),Build portfolio-focused overseas creative pathway,"RM 2200-6500/month","General note: portfolio and interview standards vary by institution.",Medium,"Portfolio depth|Design fundamentals|Application narrative","Develop a 6-piece portfolio and request mentor critique",6
DIP_IT_DEGREE_LOCAL_01,true,Diploma,IT|Data,Malaysia,,{},2.80,1200,4500,Intermediate,"{""work_part_time_ok"":true}",Top-up Degree in IT (Local),Enter a local top-up degree with credit transfer opportunities,"RM 1200-4500/month","General note: transfer and internship rules vary by institution.",High,"Technical portfolio refresh|Internship outreach|Interview prep","Shortlist top-up programs and map credit transfer requirements",10
DIP_BUSINESS_TOPUP_LOCAL_01,true,Diploma,Business|Economics,Malaysia,,{},2.70,1000,3800,Intermediate,"{""work_part_time_ok"":true,""timeline_fast_track"":true}",Business Top-up Degree (Local),Complete business degree through local top-up route,"RM 1000-3800/month","General note: module exemptions vary across universities.",High,"Case interview prep|Leadership evidence|CV updates","Compare credit transfer policies and prepare interview stories",9
DIP_ENGINEERING_LOCAL_01,true,Diploma,Engineering,Malaysia,,{},2.90,1500,4800,Intermediate,"{""work_part_time_ok"":false}",Engineering Degree Completion (Local),Complete engineering progression through local degree pathway,"RM 1500-4800/month","General note: lab and accreditation standards differ by institution.",Medium,"Math refresher|Technical project summary|Industry networking","Prepare project portfolio and attend one engineering event",8
DIP_HEALTH_ADV_LOCAL_01,true,Diploma,Health|Science,Malaysia,,{},2.80,1300,4300,Intermediate,"{""work_part_time_ok"":false}",Allied Health Advanced Entry (Local),Progress from diploma into advanced health study locally,"RM 1300-4300/month","General note: clinical placement requirements can be competitive.",Medium,"Clinical communication|Documentation readiness|Application timeline","Prepare placement documents and review institution timelines",8
DIP_CREATIVE_ADV_LOCAL_01,true,Diploma,Creative|Design,Malaysia,,{},2.50,900,3200,Intermediate,"{""work_part_time_ok"":true}",Creative Degree Progression (Local),Advance into creative degree with portfolio emphasis,"RM 900-3200/month","General note: portfolio review standards vary by school.",Medium,"Portfolio curation|Branding basics|Presentation skills","Refine portfolio case studies and practice presentation pitch",8
DIP_ENGINEERING_OVERSEAS_01,true,Diploma,Engineering,Germany|Australia,,{},3.00,3000,9000,Advanced,"{""work_part_time_ok"":false}",Engineering Degree Completion (Overseas),Complete engineering degree abroad after diploma baseline alignment,"RM 3000-9000/month","General note: visa and part-time limits differ by destination.",Medium,"English improvement|Math refresh|Funding backup plan","Prepare language test and institution list in 30 days",8
DIP_IT_OVERSEAS_01,true,Diploma,IT|Data,Australia|Ireland,,{},3.00,2800,8500,Advanced,"{""work_part_time_ok"":true}",IT Top-up Degree (Overseas),Transition from diploma into overseas IT degree pathway,"RM 2800-8500/month","General note: post-study work opportunities vary by destination.",Medium,"Advanced portfolio|English score optimization|Funding plan","Finalize institution shortlist and complete application timeline",7
DIP_BUSINESS_OVERSEAS_01,true,Diploma,Business|Economics,UK|Australia,,{},3.10,3000,8800,Advanced,"{""work_part_time_ok"":true}",Business Degree Completion (Overseas),Progress to business degree overseas after diploma pathway,"RM 3000-8800/month","General note: visa policy and financial proof requirements can change.",Low,"English writing|Scholarship strategy|Financial planning","Prepare personal statement and document funding evidence",6
DIP_HEALTH_OVERSEAS_01,true,Diploma,Health|Science,UK|Australia,,{},3.20,3800,9800,Advanced,"{""work_part_time_ok"":false}",Health Degree Bridge (Overseas),Bridge into health sciences degree pathway overseas,"RM 3800-9800/month","General note: destination licensing pathways are country specific.",Low,"Academic writing|Clinical vocabulary|Funding strategy","Prepare compliance checklist and language certification plan",5
SPM_LOCAL_RECOVERY_01,true,SPM,Business|IT|Creative,Malaysia,2,"{""english"":""D""}",,400,1800,Beginner,"{""work_part_time_ok"":true,""timeline_fast_track"":false}",Readiness Recovery Foundation (Local),Recovery-friendly local foundation pathway for uncertain profiles,"RM 400-1800/month","General note: this is a stepping-stone route with progression planning.",High,"Study habits reset|English basics|Mentor support","Start with foundation support plan and monthly readiness review",9
